ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Marco Etcheverry,DC,4,26,23,19,6,10,9,0.8,1996
Carlos Valderrama,TB,4,23,23,17,6,13,4,0.74,1996
Preki,KC,4,32,32,13,2,9,4,0.41,1996
Robert Warzycha,CLB,4,20,20,11,3,8,3,0.57,1996
Adrian Paz,CLB,4,27,19,10,0,4,6,0.5,1996
Tab Ramos,MET,4,25,25,10,3,5,5,0.42,1996
Mark Chung,KC,4,32,32,9,2,5,4,0.28,1996
Roberto Donadoni,MET,4,17,17,8,3,7,1,0.47,1996
Giuseppe Galderisi,NE,6,25,22,8,2,3,5,0.37,1996
Billy Thompson,CLB,4,24,24,8,1,5,3,0.35,1996
John Harkes,DC,4,29,28,8,2,6,2,0.29,1996
Gerell Elliott,DAL,6,20,16,7,2,1,6,0.41,1996
Alberto Naveda,NE,6,25,20,7,2,5,2,0.36,1996
Vitalis Takawira,KC,6,28,25,7,0,4,3,0.28,1996
Ted Eck,DAL,5,26,16,6,2,4,2,0.35,1996
Welton,NE,6,29,20,6,1,2,4,0.28,1996
Mike Sorber,KC,4,23,23,6,1,5,1,0.28,1996
Martin Vasquez,TB,4,31,31,6,0,6,0,0.2,1996
Darren Sawatzky,NE,6,28,19,5,1,4,1,0.25,1996
Leonel Alvarez,DAL,4,22,22,5,2,4,1,0.23,1996
Jason Kreis,DAL,4,31,29,5,0,3,2,0.18,1996
Richie Williams,DC,4,30,30,5,1,2,3,0.18,1996
Frank Klopas,KC,6,22,16,4,1,3,1,0.29,1996
Pete Marino,CLB,6,29,18,4,1,1,3,0.21,1996
Miles Joseph,MET,4,24,23,4,0,2,2,0.19,1996
Roy Lassiter,TB,6,30,30,4,2,2,2,0.14,1996
Evans Wise,TB,4,23,17,3,0,1,2,0.18,1996
Steve Rammel,DC,6,26,20,3,0,3,0,0.16,1996
Hugo Sanchez,DAL,6,23,21,3,1,2,1,0.16,1996
Paul Keegan,NE,6,27,20,3,0,1,2,0.15,1996
Brian Haynes,DAL,4,26,23,3,1,1,2,0.14,1996
Brian McBride,CLB,6,28,28,3,0,2,1,0.12,1996
Maurice Johnston,KC,5,29,29,3,2,2,1,0.1,1996
Eric Eichmann,KC,6,15,4,2,0,1,1,0.37,1996
Manny Lagos,MET,4,6,6,2,1,1,1,0.37,1996
Victor Mella,NE,4,8,6,2,1,1,1,0.31,1996
Antony De Avila,MET,6,8,7,2,1,1,1,0.28,1996
Imad Baba,NE,4,11,8,2,1,1,1,0.24,1996
Washington Rodriguez,DAL,5,14,9,2,1,2,0,0.22,1996
A.J. Wood,MET,6,21,13,2,0,2,0,0.16,1996
Brian Maisonneuve,CLB,4,15,13,2,1,1,1,0.15,1996
Todd Yeagley,CLB,4,22,14,2,0,2,0,0.14,1996
Marcelo Carrera,CLB,6,30,12,2,0,2,0,0.13,1996
John Kerr,DAL,6,19,16,2,2,2,0,0.13,1996
Goran Hunjak,TB,4,21,15,2,0,2,0,0.13,1996
Kevin Wylie,NE,6,22,22,2,0,1,1,0.1,1996
Doctor Khumalo,CLB,4,25,23,2,1,1,1,0.09,1996
Raul Diaz Arce,DC,6,28,28,2,0,0,2,0.08,1996
Mark Santel,DAL,4,30,28,2,0,2,0,0.07,1996
Steve Ralston,TB,4,31,31,2,0,1,1,0.07,1996
Obi Monome,CLB,4,1,0,1,0,0,1,3.46,1996
Todd Miller,CLB,4,3,2,1,1,1,0,0.57,1996
Petter Villegas,MET,4,3,2,1,1,0,1,0.55,1996
Nidal Baba,MET,4,3,1,1,1,0,1,0.47,1996
Ian Hennessey,MET,4,8,4,1,0,0,1,0.29,1996
Brian Kamler,DC,4,12,3,1,1,1,0,0.19,1996
Edmundo Rodriguez,MET,4,11,5,1,0,0,1,0.19,1996
Robert Ukrop,NE,6,9,8,1,0,0,1,0.14,1996
Kevin Koetters,KC,4,15,6,1,0,0,1,0.12,1996
Rob Smith,CLB,4,9,9,1,0,1,0,0.12,1996
Damian Silvera,MET,4,15,8,1,1,1,0,0.11,1996
Chris Unger,MET,4,16,12,1,0,0,1,0.09,1996
Shawn Medved,DC,4,27,13,1,0,1,0,0.08,1996
Joe-Max Moore,NE,6,14,14,1,0,1,0,0.07,1996
Mike Burns,NE,4,17,14,1,0,1,0,0.07,1996
Giovanni Savarese,MET,6,26,15,1,0,1,0,0.06,1996
Lawrence Lozzano,DAL,4,31,31,1,0,1,0,0.03,1996
Rivers Guthrie,TB,4,0,0,0,0,0,0,0,1996
Ricci Greenwood,CLB,4,1,0,0,0,0,0,0,1996
Stan Lembryk,MET,4,1,0,0,0,0,0,0,1996
Omid Namazi,MET,4,1,0,0,0,0,0,0,1996
Bojan Vuckovic,NE,6,1,0,0,0,0,0,0,1996
Brent Longenecker,MET,4,2,0,0,0,0,0,0,1996
Martin Munnelly,MET,4,1,0,0,0,0,0,0,1996
Travis Rinker,MET,4,3,0,0,0,0,0,0,1996
Mirsad Huseinovic,MET,4,1,1,0,0,0,0,0,1996
Yari Allnutt,KC,6,1,0,0,0,0,0,0,1996
Patrick Tardieu,NE,6,5,0,0,0,0,0,0,1996
Ben Crawley,DC,6,5,0,0,0,0,0,0,1996
Danny Barber,MET,4,1,1,0,0,0,0,0,1996
Ken Hesse,MET,6,1,1,0,0,0,0,0,1996
Louis Ken-Kwofie,MET,4,1,1,0,0,0,0,0,1996
Jesse Marsch,DC,4,4,0,0,0,0,0,0,1996
Sterling Wescott,DC,4,2,1,0,0,0,0,0,1996
Jimmy Glenn,DAL,6,9,0,0,0,0,0,0,1996
George Gelnovatch,DC,4,2,2,0,0,0,0,0,1996
Paul Young,CLB,6,4,1,0,0,0,0,0,1996
Mac Cozier,CLB,6,13,0,0,0,0,0,0,1996
Juan Suarez,DC,6,2,2,0,0,0,0,0,1996
Mike Huwiler,DC,4,5,3,0,0,0,0,0,1996
Jorge Flores,DAL,4,8,3,0,0,0,0,0,1996
Brandon Ward,CLB,4,6,3,0,0,0,0,0,1996
Dante Washington,CLB,6,9,2,0,0,0,0,0,1996
Chris Brauchle,MET,4,5,3,0,0,0,0,0,1996
Alan Prampin,KC,6,15,2,0,0,0,0,0,1996
Nelson Vargas,TB,4,9,4,0,0,0,0,0,1996
Mickey Kydes,MET,4,11,7,0,0,0,0,0,1996
Diego Viera,TB,6,17,6,0,0,0,0,0,1996
Shane Battelle,CLB,4,15,10,0,0,0,0,0,1996
Chad Ashton,DAL,4,23,10,0,0,0,0,0,1996
Erik Imler,DC,4,19,15,0,0,0,0,0,1996
Derek Backman,TB,4,25,14,0,0,0,0,0,1996
