ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Paul Wright,KC,6,17,7,3,0,2,1,0.39,1996
Jaime Moreno,DC,6,9,9,3,2,3,0,0.39,1996
Kris Kelderman,DC,4,18,8,3,0,0,3,0.33,1996
Ruben Hernandez,MET,4,10,9,3,1,3,0,0.32,1996
Rob Johnson,MET,6,18,12,3,1,2,1,0.24,1996
Kris Kelderman,DC,4,24,9,4,0,2,2,0.4,1997
Pete Marino,CLB,6,28,7,4,1,2,2,0.29,1997
Jesse Marsch,DC,4,11,1,3,1,1,2,1.16,1997
Temoc Suarez,DAL,4,19,6,3,1,1,2,0.37,1997
Alan Prampin,TB,6,24,12,3,2,2,1,0.22,1997
Andy Williams,CLB,4,13,11,12,3,6,6,1.11,1998
Brian Maisonneuve,CLB,4,13,12,7,0,3,4,0.7,1998
Paul Young,TB,6,14,8,5,0,4,1,0.59,1998
Dominic Kinnear,TB,4,24,8,5,3,1,4,0.52,1998
Nelson Vargas,MIA,4,18,7,4,2,4,0,0.5,1998
Temoc Suarez,DAL,4,20,10,4,0,2,2,0.43,1998
Paul Keegan,NE,6,20,7,4,1,1,3,0.4,1998
Marcelo Carrera,CLB,6,16,5,3,2,2,1,0.45,1998
Josh Wolff,CHI,6,14,4,3,1,2,1,0.41,1998
Dan Stebbins,MIA,6,24,11,3,0,2,1,0.21,1998
Petter Villegas,MET,4,30,10,6,1,4,2,0.38,1999
Manny Lagos,CHI,4,19,9,5,1,2,3,0.52,1999
Paul Dougherty,CHI,6,19,11,5,2,4,1,0.42,1999
Dante Washington,DAL,6,21,10,4,1,3,1,0.36,1999
Tab Ramos,MET,4,5,4,3,0,0,3,0.78,1999
Maurizio Rocha,MIA,4,11,5,3,0,0,3,0.49,1999
Andy Williams,CLB,4,21,11,3,2,0,3,0.22,1999
Johnny Torres,NE,6,27,10,3,1,2,1,0.22,1999
Dominic Kinnear,TB,4,23,12,8,3,7,1,0.56,2000
Hristo Stoitchkov,CHI,6,18,12,7,1,5,2,0.64,2000
Paul Broome,DAL,4,20,12,7,1,5,2,0.57,2000
Antonio Martinez,DAL,5,15,3,3,0,3,0,0.51,2000
Jamar Beasley,NE,4,19,6,3,1,2,1,0.32,2000
Nelson Vargas,MIA,4,14,10,3,2,2,1,0.3,2000
Aleksey Korol,DAL,6,21,11,3,0,3,0,0.26,2000
A.J. Wood,DC,6,24,12,3,0,1,2,0.22,2000
William Sunsing,NE,6,26,9,3,2,3,0,0.21,2000
Antonio Martinez,DAL,5,17,10,9,2,6,3,0.8,2001
Bobby Rhine,DAL,4,18,10,7,2,6,1,0.65,2001
Bobby Convey,DC,4,12,11,7,0,7,0,0.64,2001
Clint Mathis,MET,4,10,10,5,1,3,2,0.5,2001
Hristo Stoitchkov,CHI,6,17,10,5,3,2,3,0.49,2001
Gary Glasgow,KC,6,18,11,5,2,4,1,0.4,2001
Jamar Beasley,CHI,4,19,8,3,0,0,3,0.36,2001
Sergi Daniv,CHI,4,14,9,3,1,3,0,0.33,2001
Lazo Alavanja,DAL,4,16,11,3,1,3,0,0.3,2001
Onandi Lowe,KC,6,13,10,3,1,1,2,0.26,2001
Braeden Cloutier,NE,4,13,12,3,0,2,1,0.26,2001
Ronald Cerritos,DAL,6,23,11,6,3,4,2,0.45,2002
Diego Serna,MET,6,13,10,4,0,4,0,0.38,2002
Santino Quaranta,DC,5,11,11,4,0,3,1,0.38,2002
Ian Fuller,NE,6,11,5,3,2,2,1,0.61,2002
Hristo Stoitchkov,CHI,6,16,6,3,2,2,1,0.39,2002
Tab Ramos,MET,4,14,12,3,0,2,1,0.29,2002
Brad Davis,MET,4,24,12,3,1,2,1,0.22,2002
Jose Cancela,NE,4,13,12,7,2,4,3,0.55,2003
Freddy Garcia,CLB,4,22,12,6,1,4,2,0.42,2003
Hristo Stoitchkov,DC,6,21,9,5,1,2,3,0.5,2003
Toni Nhleko,DAL,6,11,9,4,0,2,2,0.46,2003
Santino Quaranta,DC,5,12,8,3,1,1,2,0.37,2003
Eliseo Quintanilla,DC,5,18,12,3,0,1,2,0.23,2003
Richie Baker,NE,4,20,11,6,0,4,2,0.52,2004
Oscar Pareja,DAL,4,24,12,6,1,3,3,0.49,2004
Mark Lisi,MET,4,11,8,4,1,1,3,0.52,2004
Bobby Convey,DC,4,10,10,3,0,1,2,0.33,2004
Jamil Walker,DC,5,22,6,7,2,4,3,0.86,2005
Chad Barrett,CHI,6,20,4,4,1,3,1,0.61,2005
Abbe Ibrahim,MET,6,16,6,3,1,1,2,0.47,2005
David Testo,CLB,5,17,12,3,1,1,2,0.26,2005
Ramon Nunez,DAL,4,21,12,3,1,2,1,0.24,2005
Abe Thompson,DAL,6,14,7,6,2,3,3,0.8,2006
Mark Lisi,NY,4,9,7,4,1,3,1,0.71,2006
Pat Noonan,NE,6,14,12,3,0,1,2,0.32,2006
Stuart Holden,HOU,4,22,10,5,2,3,2,0.44,2007
Corey Ashe,HOU,4,22,6,4,2,4,0,0.44,2007
