ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Tony Sanneh,DC,2,25,24,8,2,5,3,0.35,1996
Diego Sonora,DAL,3,31,31,7,1,3,4,0.23,1996
Ivan McKinley,TB,3,26,25,6,1,5,1,0.25,1996
Steve Pittman,TB,2,26,26,6,1,3,3,0.24,1996
Jeff Agoos,DC,2,32,32,5,1,2,3,0.16,1996
John DeBrito,NE,2,21,18,4,1,3,1,0.23,1996
Diego Gutierrez,KC,2,28,24,4,3,3,1,0.17,1996
Peter Woodring,NE,2,21,20,3,0,0,3,0.17,1996
Mario Gori,DC,2,25,22,3,1,1,2,0.14,1996
Cle Kooiman,TB,2,27,27,3,0,2,1,0.11,1996
Geoff Aunger,NE,2,29,26,3,0,2,1,0.11,1996
Sean Bowers,KC,2,31,31,3,1,2,1,0.1,1996
John Maessner,DC,3,20,5,2,1,2,0,0.25,1996
Frankie Hejduk,TB,2,9,8,2,0,1,1,0.25,1996
Ricardo Iribarren,CLB,2,16,15,2,2,1,1,0.14,1996
Paul Caligiuri,CLB,2,22,21,2,0,0,2,0.1,1996
Tony Sanneh,DC,2,29,28,11,3,4,7,0.44,1997
John Maessner,DC,3,32,20,9,1,5,4,0.4,1997
Frankie Hejduk,TB,2,23,22,6,1,3,3,0.28,1997
Ivan McKinley,NE,3,26,21,4,3,3,1,0.18,1997
Ryan Tinsley,KC,2,31,29,4,0,2,2,0.14,1997
Arnold Cruz,DC,2,25,23,3,0,2,1,0.13,1997
Uche Okafor,KC,2,27,27,3,0,0,3,0.11,1997
Jeff Agoos,DC,2,29,27,3,2,0,3,0.11,1997
Alexi Lalas,NE,2,30,29,3,2,3,0,0.1,1997
Branco,MET,2,11,11,2,0,1,1,0.2,1997
Sergio Miguez,CLB,2,17,16,2,1,1,1,0.13,1997
Diego Sonora,DAL,3,16,16,2,1,1,1,0.13,1997
Adam Frye,TB,2,18,17,2,1,2,0,0.13,1997
Mike Lapper,CLB,2,20,20,2,1,2,0,0.1,1997
David Vaudreuil,DC,2,25,19,2,0,2,0,0.1,1997
Tom Soehn,DAL,2,25,21,2,0,1,1,0.09,1997
Brian Bliss,CLB,2,28,24,2,0,2,0,0.09,1997
Cle Kooiman,TB,2,27,27,2,0,0,2,0.08,1997
Mike Clark,CLB,2,31,28,2,1,2,0,0.07,1997
Eddie Pope,DC,2,29,29,2,2,2,0,0.07,1997
Ansil Elcock,CLB,2,28,27,8,2,7,1,0.3,1998
Lubos Kubik,CHI,2,31,31,8,1,5,3,0.26,1998
Diego Sonora,MET,3,30,30,7,1,6,1,0.24,1998
Tony Sanneh,DC,2,17,17,6,2,4,2,0.4,1998
Chris Houser,TB,2,24,22,5,1,3,2,0.22,1998
Ryan Tinsley,KC,2,30,26,5,0,3,2,0.2,1998
Jeff Agoos,DC,2,21,20,4,1,3,1,0.2,1998
Scott Cannon,CLB,2,15,9,3,1,2,1,0.36,1998
Diego Gutierrez,CHI,2,13,8,3,1,2,1,0.33,1998
Scott Vermillion,KC,2,22,22,3,1,1,2,0.14,1998
Ted Chronopoulos,NE,2,23,23,3,0,2,1,0.14,1998
Ritchie Kotschau,CHI,2,24,23,3,0,3,0,0.14,1998
Francis Okaroh,CHI,2,26,26,3,0,1,2,0.12,1998
Mike Duhaney,MET,2,30,26,3,0,1,2,0.11,1998
Manny Motajo,NE,2,15,12,2,0,1,1,0.18,1998
Geoff Aunger,DC,2,22,15,2,0,0,2,0.13,1998
Scott Uderitz,KC,2,22,18,2,1,2,0,0.11,1998
Carey Talley,DC,2,29,19,2,0,1,1,0.1,1998
Ricardo Iribarren,CLB,2,24,22,2,0,1,1,0.1,1998
Uche Okafor,KC,2,22,22,2,0,1,1,0.09,1998
Thomas Dooley,CLB,2,23,23,2,1,2,0,0.09,1998
Richard Farrer,DAL,2,28,24,2,1,0,2,0.08,1998
Matt Kmosko,MIA,2,27,25,2,0,1,1,0.08,1998
Richard Goulooze,NE,2,29,29,2,0,1,1,0.07,1998
Jorge Rodriguez,DAL,3,30,28,2,0,2,0,0.07,1998
Mike Clark,CLB,2,30,30,2,1,2,0,0.07,1998
