ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Adam Frye,TB,2,15,9,1,0,1,0,0.12,1996
Matt McKeon,KC,2,12,9,1,0,1,0,0.11,1996
David Vaudreuil,DC,2,14,13,1,0,1,0,0.08,1996
Eddie Pope,DC,2,18,18,1,1,0,1,0.06,1996
Samuel Ekeme,KC,2,23,19,1,0,1,0,0.05,1996
Iain Fraser,NE,2,23,23,1,0,0,1,0.04,1996
Scott Uderitz,KC,2,28,24,1,0,1,0,0.04,1996
Alexi Lalas,NE,2,25,25,1,0,0,1,0.04,1996
Mike Clark,CLB,2,27,27,1,1,1,0,0.04,1996
Rhett Harty,MET,2,31,31,1,0,1,0,0.03,1996
Peter Vermes,MET,2,30,30,1,1,0,1,0.03,1996
Greg Lalas,TB,2,3,1,0,0,0,0,0,1996
Rene Ortiz,DAL,2,2,1,0,0,0,0,0,1996
Thor Lee,DC,2,2,2,0,0,0,0,0,1996
Said Fazlagic,DC,2,2,1,0,0,0,0,0,1996
Andrew Restrepo,MET,2,5,4,0,0,0,0,0,1996
Tom Lips,NE,2,8,5,0,0,0,0,0,1996
John Diffley,TB,2,13,6,0,0,0,0,0,1996
Tommy Reasoner,KC,2,13,7,0,0,0,0,0,1996
Richard Weiszmann,NE,2,10,9,0,0,0,0,0,1996
Ted Gillen,MET,2,15,9,0,0,0,0,0,1996
Brandon Pollard,DAL,2,10,9,0,0,0,0,0,1996
Ted Chronopoulos,NE,2,14,11,0,0,0,0,0,1996
Cristian da Silva,MET,2,20,12,0,0,0,0,0,1996
Ed Puskarich,DAL,2,18,14,0,0,0,0,0,1996
Mark Watson,CLB,2,18,18,0,0,0,0,0,1996
Brian Bliss,CLB,2,19,19,0,0,0,0,0,1996
Jeff Zaun,MET,2,21,19,0,0,0,0,0,1996
Matt Knowles,MET,2,21,16,0,0,0,0,0,1996
Clint Peay,DC,2,19,18,0,0,0,0,0,1996
Francis Okaroh,NE,2,20,20,0,0,0,0,0,1996
Nicola Caricola,MET,2,26,26,0,0,0,0,0,1996
Frank Yallop,TB,2,29,28,0,0,0,0,0,1996
Uche Okafor,KC,2,30,30,0,0,0,0,0,1996
Richard Farrer,DAL,2,31,31,0,0,0,0,0,1996
Cristian da Silva,MET,2,14,6,1,0,0,1,0.15,1997
Thomas Dooley,CLB,2,15,15,1,0,0,1,0.07,1997
Richard Gough,KC,2,17,17,1,0,0,1,0.06,1997
Brandon Pollard,DAL,2,21,16,1,0,1,0,0.06,1997
Wade Webber,DAL,2,18,18,1,0,1,0,0.06,1997
Jorge Rodriguez,DAL,3,24,21,1,0,0,1,0.05,1997
Rhett Harty,MET,2,26,26,1,1,1,0,0.04,1997
Ted Chronopoulos,NE,2,30,30,1,0,1,0,0.03,1997
Matt McKeon,KC,2,31,30,1,0,0,1,0.03,1997
Diego Gutierrez,KC,2,0,0,0,0,0,0,0,1997
Dionysus Sebwe,KC,2,0,0,0,0,0,0,0,1997
David Moxom,TB,2,0,0,0,0,0,0,0,1997
Greg Lalas,NE,2,2,0,0,0,0,0,0,1997
