ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Eric Wynalda,SJ,6,27,26,13,2,9,4,0.5,1996
Mauricio Cienfuegos,LA,4,28,27,11,2,5,6,0.41,1996
Ben Iroha,SJ,4,29,24,8,3,3,5,0.33,1996
Chris Henderson,COL,4,29,29,8,0,5,3,0.28,1996
Shaun Bartlett,COL,6,26,26,7,1,5,2,0.28,1996
Eduardo Hurtado,LA,6,26,26,7,0,4,3,0.27,1996
Roy Wegerle,COL,6,22,16,6,3,3,3,0.37,1996
Eduardo Espinoza,SJ,6,26,26,5,1,1,4,0.19,1996
Paul Bravo,SJ,4,31,31,5,0,5,0,0.17,1996
Scott Benedetti,COL,6,32,32,5,2,4,1,0.16,1996
Jean Harbor,COL,6,29,27,4,2,4,0,0.17,1996
Cobi Jones,LA,4,28,27,4,2,3,1,0.15,1996
Eddie Lewis,SJ,4,25,13,3,0,2,1,0.22,1996
Jorge Rodas,SJ,4,29,17,3,1,2,1,0.15,1996
Felipe Rodriguez,COL,4,10,5,2,0,0,2,0.38,1996
Richard Sharpe,COL,6,17,7,2,0,0,2,0.26,1996
Andrew Shue,LA,6,5,0,1,0,0,1,0.94,1996
Raimo De Vries,COL,6,4,4,1,0,1,0,0.25,1996
Henry Gutierrez,SJ,4,7,4,1,0,1,0,0.25,1996
Ramiro Corrales,SJ,4,11,5,1,0,0,1,0.2,1996
Chris Armas,LA,4,22,20,1,0,1,0,0.05,1996
Jorge Salcedo,LA,4,29,22,1,1,1,0,0.04,1996
Jeff Baicher,SJ,4,30,28,1,1,1,0,0.04,1996
Ed Pinon,COL,4,1,0,0,0,0,0,0,1996
Ryshiem Henderson,SJ,6,3,0,0,0,0,0,0,1996
Josh McKay,COL,4,4,1,0,0,0,0,0,1996
Ante Razov,LA,6,3,1,0,0,0,0,0,1996
Paul Holocher,SJ,4,4,2,0,0,0,0,0,1996
Altimont Butler,SJ,4,14,4,0,0,0,0,0,1996
John Garvey,LA,6,13,3,0,0,0,0,0,1996
Sean Henderson,COL,4,9,9,0,0,0,0,0,1996
Brian Bates,COL,4,19,7,0,0,0,0,0,1996
Dominic Kinnear,COL,4,14,11,0,0,0,0,0,1996
Eddie Lewis,SJ,4,29,26,14,3,9,5,0.56,1997
Chris Henderson,COL,4,30,29,13,2,8,5,0.47,1997
Mauricio Cienfuegos,LA,4,22,22,12,7,9,3,0.55,1997
Adrian Paz,COL,4,25,24,11,1,4,7,0.48,1997
Ronald Cerritos,SJ,6,22,22,10,2,3,7,0.49,1997
Lawrence Lozzano,SJ,4,29,23,10,3,4,6,0.43,1997
Cobi Jones,LA,4,26,25,9,2,6,3,0.36,1997
David Patino,COL,5,23,22,6,3,5,1,0.31,1997
Martin Machon,LA,4,30,27,6,2,2,4,0.22,1997
Paul Bravo,COL,4,30,27,6,2,2,4,0.22,1997
Wolde Harris,COL,6,27,15,5,0,4,1,0.3,1997
Chris Armas,LA,4,28,28,5,4,3,2,0.2,1997
Shawn Medved,SJ,4,31,15,4,1,2,2,0.23,1997
Roy Wegerle,COL,6,31,23,4,0,3,1,0.19,1997
Dominic Kinnear,SJ,4,28,24,4,1,1,3,0.19,1997
Istvan Urbanyi,SJ,4,23,19,3,0,2,1,0.17,1997
Harut Karapetyan,LA,6,30,23,3,0,0,3,0.15,1997
Eduardo Hurtado,LA,6,22,21,3,0,1,2,0.15,1997
Guillermo Jara,LA,4,15,2,2,1,1,1,0.51,1997
Shaun Bartlett,COL,6,23,15,2,0,2,0,0.12,1997
Tote Castaneda,COL,4,24,18,2,1,1,1,0.11,1997
Jeff Baicher,SJ,4,32,20,2,0,2,0,0.09,1997
Jose Botello,LA,6,7,0,1,0,0,1,0.6,1997
Daniel Guzman,SJ,6,3,3,1,0,0,1,0.41,1997
Zico,SJ,6,7,3,1,0,1,0,0.35,1997
Steve Rammel,COL,6,21,11,1,1,1,0,0.08,1997
Esmundo Rodriguez,SJ,4,1,0,0,0,0,0,0,1997
Ante Razov,LA,6,3,0,0,0,0,0,0,1997
John Jones,LA,4,5,0,0,0,0,0,0,1997
Gerardo Laterza,LA,4,4,1,0,0,0,0,0,1997
Scott Benedetti,COL,6,3,1,0,0,0,0,0,1997
Brian Taylor,LA,4,11,5,0,0,0,0,0,1997
Brian Bates,COL,4,11,7,0,0,0,0,0,1997
Ramiro Corrales,SJ,4,14,11,0,0,0,0,0,1997
Sean Henderson,COL,4,25,19,0,0,0,0,0,1997
Mauricio Cienfuegos,LA,4,30,30,16,4,5,11,0.55,1998
Eduardo Hurtado,LA,6,29,28,15,5,11,4,0.53,1998
Martin Machon,LA,4,31,29,14,3,9,5,0.49,1998
Cobi Jones,LA,4,24,24,13,4,6,7,0.55,1998
Adrian Paz,COL,4,28,28,13,2,7,6,0.51,1998
Carlos Hermosillo,LA,6,18,18,12,3,6,6,0.71,1998
Ronald Cerritos,SJ,6,31,30,12,2,5,7,0.4,1998
Welton,LA,6,31,29,11,2,5,6,0.41,1998
Clint Mathis,LA,4,30,15,10,0,5,5,0.58,1998
Chris Henderson,COL,4,28,22,9,1,4,5,0.42,1998
Paul Bravo,COL,4,30,30,8,2,4,4,0.28,1998
Martin Vasquez,SJ,4,28,24,7,1,2,5,0.3,1998
Waldir,COL,6,23,17,6,2,5,1,0.39,1998
Victor Mella,SJ,4,31,25,6,1,5,1,0.23,1998
Ross Paule,COL,4,30,29,6,2,1,5,0.22,1998
Eric Wynalda,SJ,6,16,16,5,0,2,3,0.32,1998
Braeden Cloutier,SJ,4,30,25,5,0,1,4,0.22,1998
Eddie Lewis,SJ,4,32,32,4,0,3,1,0.13,1998
Jeff Baicher,SJ,4,20,15,3,2,2,1,0.25,1998
Joey DiGiamarino,COL,4,23,16,2,0,1,1,0.12,1998
Daniel Hernandez,LA,4,17,3,1,0,0,1,0.2,1998
Marquis White,COL,6,20,3,1,0,0,1,0.18,1998
Lawrence Lozzano,LA,4,13,7,1,0,1,0,0.13,1998
Eric Chaisongkram,LA,4,0,0,0,0,0,0,0,1998
Marco Ferruzzi,LA,4,0,0,0,0,0,0,0,1998
David Quesada,LA,6,1,0,0,0,0,0,0,1998
Jose Botello,LA,6,2,0,0,0,0,0,0,1998
Esmundo Rodriguez,SJ,4,3,0,0,0,0,0,0,1998
Alberto Montoya,SJ,4,1,1,0,0,0,0,0,1998
Harut Karapetyan,LA,6,20,4,0,0,0,0,0,1998
Jason Bent,COL,4,12,9,0,0,0,0,0,1998
Sean Henderson,COL,4,21,15,0,0,0,0,0,1998
Mauricio Cienfuegos,LA,4,30,29,17,8,5,12,0.58,1999
Eddie Lewis,SJ,4,29,29,14,5,10,4,0.49,1999
Ross Paule,COL,4,26,26,9,5,4,5,0.36,1999
