ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Guillermo Jara,LA,4,21,6,4,1,1,3,0.44,1996
Eric Wynalda,SJ,6,14,9,11,2,7,4,1.07,1997
Christopher Sullivan,SJ,4,24,8,6,0,4,2,0.53,1997
Ross Paule,COL,4,19,7,3,0,2,1,0.31,1997
Welton,LA,6,29,12,3,0,1,2,0.2,1997
Francisco Uribe,SJ,6,12,8,5,2,2,3,0.61,1998
Wellington Sanchez,LA,4,13,9,4,1,1,3,0.52,1998
Joe Franchino,LA,4,16,7,4,0,0,4,0.49,1998
Wolde Harris,COL,6,27,10,4,1,2,2,0.32,1998
Brian Sebapole,SJ,6,12,0,3,1,1,2,1.13,1998
Guillermo Jara,LA,4,16,4,3,1,3,0,0.47,1998
Marquinho,COL,4,11,5,3,1,3,0,0.45,1998
Jason Boyce,COL,6,15,6,3,1,2,1,0.45,1998
Shawn Medved,SJ,4,19,12,3,0,1,2,0.25,1998
Scott Bower,SJ,4,17,6,3,1,1,2,0.42,1999
Anders Limpar,COL,4,18,12,9,5,4,5,0.73,2000
Matt Okoh,COL,6,21,12,6,2,3,3,0.52,2000
Joey DiGiamarino,COL,4,18,6,3,1,1,2,0.33,2000
Raul Diaz Arce,COL,6,14,12,4,1,3,1,0.38,2001
Dwayne De Rosario,SJ,4,21,11,4,1,2,2,0.34,2001
Chris Carrieri,COL,6,19,11,4,1,1,3,0.33,2001
Scott Bower,SJ,4,12,3,3,1,0,3,0.69,2001
Junior Agogo,COL,6,24,11,3,0,3,0,0.23,2001
Luis Hernandez,LA,6,14,12,3,2,3,0,0.23,2001
Raul Palacios,COL,4,16,8,5,3,5,0,0.54,2002
Gavin Glinton,LA,6,22,6,4,0,3,1,0.46,2002
Dwayne De Rosario,SJ,4,11,6,3,1,2,1,0.39,2003
Alberto Delgado,COL,6,13,9,3,0,1,2,0.36,2004
Ned Grabavoy,LA,4,15,11,3,2,2,1,0.29,2004
Dwayne De Rosario,SJ,4,21,12,3,1,3,0,0.22,2004
Brian Ching,SJ,6,16,11,5,3,2,3,0.45,2005
Ned Grabavoy,LA,4,12,9,3,0,3,0,0.41,2005
Ednaldo da Conceicao,LA,6,19,9,3,1,2,1,0.28,2005
Josh Gardner,LA,4,18,12,3,0,1,2,0.26,2006
Ramon Nunez,CHV,4,21,12,5,2,1,4,0.36,2007
Conor Casey,COL,6,17,11,3,1,1,2,0.26,2007
Andy Williams,RSL,4,24,12,3,0,1,2,0.21,2007
