ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
John Doyle,SJ,2,30,30,6,1,6,0,0.2,1996
Troy Dayak,SJ,2,25,25,3,2,1,2,0.12,1996
Arash Noamouz,LA,2,12,11,2,0,2,0,0.21,1996
Jose Vasquez,LA,2,14,11,2,2,1,1,0.21,1996
Marcelo Balboa,COL,2,18,16,2,1,2,0,0.12,1996
Mark Semioli,LA,2,28,27,2,0,1,1,0.07,1996
Michael Emenalo,SJ,2,29,28,2,2,1,1,0.07,1996
Steve Trittschuh,COL,2,32,32,2,1,2,0,0.06,1996
Peter Vermes,COL,2,26,25,4,0,1,3,0.16,1997
Greg Vanney,LA,2,28,27,3,0,2,1,0.12,1997
Tim Martin,SJ,2,28,28,3,0,3,0,0.11,1997
Marcelo Balboa,COL,2,28,28,3,2,3,0,0.11,1997
Matt Kmosko,COL,2,31,31,3,1,3,0,0.1,1997
Paul Caligiuri,LA,2,16,16,2,0,0,2,0.13,1997
Troy Dayak,SJ,2,21,21,2,0,0,2,0.1,1997
Danny Pena,LA,2,27,26,2,1,2,0,0.08,1997
Michael Emenalo,SJ,2,27,26,2,0,1,1,0.08,1997
Ezra Hendrickson,LA,2,27,22,8,5,6,2,0.37,1998
Chris Martinez,COL,2,28,28,7,1,4,3,0.27,1998
Marcelo Balboa,COL,2,26,25,5,1,4,1,0.2,1998
Peter Vermes,COL,2,31,31,5,1,3,2,0.17,1998
Tahj Jakins,COL,2,22,13,4,1,2,2,0.31,1998
David Vaudreuil,COL,2,27,25,4,2,3,1,0.17,1998
Greg Vanney,LA,2,31,27,3,2,2,1,0.12,1998
Wade Barrett,SJ,2,26,22,2,0,1,1,0.09,1998
Danny Pena,LA,2,25,25,2,0,0,2,0.09,1998
Steve Jolley,LA,2,28,23,2,1,1,1,0.09,1998
John Doyle,SJ,2,28,27,2,1,0,2,0.07,1998
Wade Barrett,SJ,2,31,31,8,1,7,1,0.26,1999
Greg Vanney,LA,2,31,31,7,3,6,1,0.23,1999
Danny Pena,LA,2,27,27,5,1,2,3,0.2,1999
John Doyle,SJ,2,27,25,4,1,2,2,0.17,1999
Ezra Hendrickson,LA,2,26,19,3,0,2,1,0.16,1999
Kevin Anderson,COL,3,17,11,2,2,0,2,0.2,1999
Matt McKeon,COL,2,28,27,2,1,1,1,0.07,1999
Marcelo Balboa,COL,2,27,27,2,1,2,0,0.07,1999
Mauricio Wright,SJ,2,27,27,2,0,1,1,0.07,1999
Peter Vermes,COL,2,32,32,2,1,1,1,0.06,1999
Marcelo Balboa,COL,2,28,28,5,1,3,2,0.18,2000
Paul Caligiuri,LA,2,28,24,4,1,1,3,0.16,2000
Ezra Hendrickson,LA,2,22,20,3,2,2,1,0.14,2000
