ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
Curt Onalfo,LA,2,13,7,1,0,1,0,0.13,1996
Manny Motajo,LA,2,20,16,1,1,1,0,0.06,1996
Scott Cannon,COL,2,21,16,1,1,1,0,0.06,1996
Greg Vanney,LA,2,29,24,1,0,1,0,0.04,1996
Dan Calichman,LA,2,28,28,1,0,0,1,0.04,1996
Denis Hamlett,COL,2,31,31,1,0,1,0,0.03,1996
Rafael Amaya,SJ,2,7,0,0,0,0,0,0,1996
Tayt Ianni,SJ,2,6,3,0,0,0,0,0,1996
Troy Edwards,COL,2,4,3,0,0,0,0,0,1996
Brad Wilson,LA,2,22,14,0,0,0,0,0,1996
Ian Butterworth,COL,2,17,17,0,0,0,0,0,1996
Oscar Draguicevich,SJ,2,19,17,0,0,0,0,0,1996
Robin Fraser,LA,2,27,27,0,0,0,0,0,1996
Matt Kmosko,COL,2,31,31,0,0,0,0,0,1996
Tim Martin,SJ,2,32,32,0,0,0,0,0,1996
Rafael Amaya,COL,2,7,3,1,0,1,0,0.38,1997
Ezra Hendrickson,LA,2,14,6,1,1,1,0,0.11,1997
Steve Jolley,LA,2,12,10,1,0,1,0,0.1,1997
Oscar Draguicevich,SJ,2,13,10,1,0,1,0,0.1,1997
Tahj Jakins,COL,2,19,12,1,0,0,1,0.08,1997
John Doyle,SJ,2,27,27,1,0,1,0,0.04,1997
Mark Semioli,LA,2,29,28,1,0,0,1,0.04,1997
Steve Trittschuh,COL,2,29,29,1,0,1,0,0.04,1997
Peter Lak,LA,2,2,1,0,0,0,0,0,1997
Tayt Ianni,SJ,2,1,1,0,0,0,0,0,1997
Curt Onalfo,SJ,2,6,3,0,0,0,0,0,1997
Brad Wilson,LA,2,3,3,0,0,0,0,0,1997
Jose Vasquez,LA,2,5,2,0,0,0,0,0,1997
Chris Martinez,COL,2,8,3,0,0,0,0,0,1997
Robin Fraser,LA,2,24,24,0,0,0,0,0,1997
Dan Calichman,LA,2,32,32,0,0,0,0,0,1997
Troy Dayak,SJ,2,11,7,1,0,0,1,0.15,1998
Oscar Draguicevich,SJ,2,13,7,1,1,0,1,0.12,1998
Paul Caligiuri,LA,2,18,14,1,1,0,1,0.07,1998
Richard Gough,SJ,2,19,19,1,1,1,0,0.06,1998
Steve Trittschuh,COL,2,30,30,1,1,0,1,0.03,1998
Ben Parry,SJ,2,0,0,0,0,0,0,0,1998
Andre Nunley,COL,2,1,0,0,0,0,0,0,1998
Jose Vasquez,LA,2,8,2,0,0,0,0,0,1998
Tyrone Marshall,COL,2,9,3,0,0,0,0,0,1998
Dan Calichman,LA,2,8,8,0,0,0,0,0,1998
Vicente Figueroa,SJ,2,20,10,0,0,0,0,0,1998
Tim Weaver,SJ,2,12,12,0,0,0,0,0,1998
Tim Martin,SJ,2,23,21,0,0,0,0,0,1998
Robin Fraser,LA,2,29,29,0,0,0,0,0,1998
Adam Frye,SJ,2,3,0,1,1,1,0,0.77,1999
Steve Trittschuh,COL,2,12,10,1,0,1,0,0.09,1999
Joey Martinez,SJ,2,15,13,1,0,0,1,0.09,1999
Jimmy Conrad,SJ,2,17,12,1,0,0,1,0.08,1999
Tim Martin,COL,2,19,15,1,0,0,1,0.07,1999
Steve Jolley,LA,2,25,21,1,0,0,1,0.05,1999
Robin Fraser,LA,2,24,23,1,1,1,0,0.04,1999
Paul Caligiuri,LA,2,27,27,1,0,0,1,0.04,1999
David Vaudreuil,COL,2,31,31,1,1,1,0,0.03,1999
Jose Vasquez,LA,2,0,0,0,0,0,0,0,1999
Gabe Eastman,LA,2,1,0,0,0,0,0,0,1999
Tim Weaver,SJ,2,1,1,0,0,0,0,0,1999
Chris Martinez,COL,2,16,8,0,0,0,0,0,1999
Tahj Jakins,COL,2,19,9,0,0,0,0,0,1999
Jamie Clark,SJ,2,26,22,0,0,0,0,0,1999
Danny Califf,LA,2,18,16,1,0,0,1,0.06,2000
Lance Key,COL,2,21,21,1,1,1,0,0.05,2000
Ryan Tinsley,SJ,2,25,23,1,1,0,1,0.04,2000
Scott Vermillion,COL,2,28,25,1,0,0,1,0.04,2000
Alijohn Utush,COL,2,0,0,0,0,0,0,0,2000
Tim Weaver,SJ,2,0,0,0,0,0,0,0,2000
Alan Woods,COL,2,1,0,0,0,0,0,0,2000
Seth Trembly,COL,3,4,0,0,0,0,0,0,2000
Craig Waibel,COL,2,2,0,0,0,0,0,0,2000
Gabe Eastman,SJ,2,2,1,0,0,0,0,0,2000
Wade Barrett,SJ,2,3,2,0,0,0,0,0,2000
Tahj Jakins,COL,2,3,2,0,0,0,0,0,2000
Adam Frye,LA,2,6,3,0,0,0,0,0,2000
Wes Hart,COL,3,7,4,0,0,0,0,0,2000
Keyeno Thomas,COL,3,12,5,0,0,0,0,0,2000
Wes Hart,COL,3,5,2,1,0,0,1,0.51,2001
Craig Waibel,LA,2,9,2,1,0,1,0,0.32,2001
Steve Shak,COL,2,14,8,1,0,0,1,0.11,2001
Lance Key,COL,2,13,13,1,0,1,0,0.08,2001
Scott Vermillion,COL,2,21,18,1,0,1,0,0.06,2001
Ritchie Kotschau,COL,2,22,21,1,0,1,0,0.05,2001
Danny Califf,LA,2,24,23,1,0,1,0,0.04,2001
Keyeno Thomas,COL,3,0,0,0,0,0,0,0,2001
John Carroll,COL,3,0,0,0,0,0,0,0,2001
Geoff Aunger,COL,2,1,1,0,0,0,0,0,2001
Eddie Robinson,SJ,2,1,1,0,0,0,0,0,2001
Seth Trembly,COL,3,4,1,0,0,0,0,0,2001
Jimmy Conrad,SJ,2,16,8,0,0,0,0,0,2001
Danny Pena,LA,2,16,11,0,0,0,0,0,2001
Stephen Herdsman,COL,2,20,16,0,0,0,0,0,2001
Chris Dawes,COL,2,16,16,0,0,0,0,0,2001
Chris Martinez,COL,2,26,26,0,0,0,0,0,2001
Troy Dayak,SJ,2,25,25,0,0,0,0,0,2001
Chris Albright,LA,2,15,9,1,1,1,0,0.11,2002
Craig Waibel,LA,2,12,9,1,0,0,1,0.1,2002
Troy Dayak,SJ,2,15,14,1,1,0,1,0.07,2002
Eddie Robinson,SJ,2,19,16,1,0,1,0,0.06,2002
Rick Titus,COL,2,25,25,1,0,0,1,0.04,2002
Robin Fraser,COL,2,28,27,1,0,0,1,0.04,2002
Steve Shak,COL,2,1,0,0,0,0,0,0,2002
Danny Jackson,COL,2,1,0,0,0,0,0,0,2002
Seth Trembly,COL,3,4,0,0,0,0,0,0,2002
Jeff Agoos,SJ,2,12,9,0,0,0,0,0,2002
Stephen Herdsman,COL,2,13,9,0,0,0,0,0,2002
Adam Frye,LA,2,20,10,0,0,0,0,0,2002
Danny Califf,LA,2,25,23,0,0,0,0,0,2002
Seth Trembly,COL,3,16,11,1,0,0,1,0.08,2003
Eddie Robinson,SJ,2,13,13,1,0,1,0,0.08,2003
Alexi Lalas,LA,2,22,19,1,0,0,1,0.05,2003
Ritchie Kotschau,COL,2,26,25,1,1,1,0,0.04,2003
Michael Piserchio,COL,3,0,0,0,0,0,0,0,2003
Scot Thompson,LA,2,0,0,0,0,0,0,0,2003
Billy Sleeth,COL,2,0,0,0,0,0,0,0,2003
Gilles Grimandi,COL,3,0,0,0,0,0,0,0,2003
Stephen Herdsman,COL,2,3,3,0,0,0,0,0,2003
Alberto Rizo,COL,2,6,3,0,0,0,0,0,2003
Jeff Stewart,COL,2,8,7,0,0,0,0,0,2003
Troy Dayak,SJ,2,9,8,0,0,0,0,0,2003
Ricky Lewis,LA,2,13,7,0,0,0,0,0,2003
Tyrone Marshall,LA,2,25,19,0,0,0,0,0,2003
Nat Borchers,COL,2,23,22,0,0,0,0,0,2003
Robin Fraser,COL,2,26,26,0,0,0,0,0,2003
Seth Trembly,COL,3,24,5,1,0,1,0,0.12,2004
Ian Russell,SJ,2,22,12,1,1,0,1,0.08,2004
Tyrone Marshall,LA,2,18,17,1,1,1,0,0.06,2004
Ryan Cochrane,SJ,2,18,18,1,0,0,1,0.06,2004
Craig Waibel,SJ,2,23,23,1,1,0,1,0.04,2004
Ritchie Kotschau,COL,2,28,26,1,0,0,1,0.04,2004
Chad Marshall,SEA,2,28,27,1,0,1,0,0.04,2004
Nat Borchers,COL,2,29,29,1,1,0,1,0.03,2004
David de la Torre,COL,3,0,0,0,0,0,0,0,2004
Scot Thompson,LA,2,1,0,0,0,0,0,0,2004
Adrian Cann,COL,2,2,0,0,0,0,0,0,2004
Chris Aloisi,LA,2,4,3,0,0,0,0,0,2004
Gary Sullivan,COL,2,16,4,0,0,0,0,0,2004
Eddie Robinson,SJ,2,8,6,0,0,0,0,0,2004
Danny Califf,LA,2,13,10,0,0,0,0,0,2004
Hong Myung Bo,LA,2,13,9,0,0,0,0,0,2004
Wes Hart,SJ,3,18,13,0,0,0,0,0,2004
Todd Dunivant,SJ,2,16,13,0,0,0,0,0,2004
Troy Dayak,SJ,2,16,15,0,0,0,0,0,2004
Ryan Suarez,LA,2,26,25,0,0,0,0,0,2004
Kevin Goldthwaite,SJ,2,3,2,1,1,0,1,0.61,2005
Gustavo Cabrera,RSL,2,4,4,1,0,0,1,0.25,2005
Craig Waibel,SJ,2,6,6,1,0,1,0,0.17,2005
Guy Melamed,COL,3,14,10,1,1,1,0,0.1,2005
Rusty Pierce,RSL,2,15,15,1,0,1,0,0.08,2005
Hunter Freeman,COL,2,20,14,1,1,1,0,0.07,2005
Ugo Ihemelu,LA,2,25,23,1,0,0,1,0.04,2005
Eddie Robinson,SJ,2,29,29,1,0,0,1,0.04,2005
Nat Borchers,COL,2,31,31,1,0,0,1,0.03,2005
Ezra Hendrickson,CHV,2,31,31,1,0,0,1,0.03,2005
Jeff Stewart,RSL,2,0,0,0,0,0,0,0,2005
Hector Castro,CHV,3,0,0,0,0,0,0,0,2005
Victor Arbelaez,CHV,3,0,0,0,0,0,0,0,2005
Sergio Flores,RSL,2,0,0,0,0,0,0,0,2005
Stephen Keel,COL,2,0,0,0,0,0,0,0,2005
Brett Rodriguez,SJ,2,0,0,0,0,0,0,0,2005
Michael Nsien,LA,2,0,0,0,0,0,0,0,2005
James Twellman,SJ,2,0,0,0,0,0,0,0,2005
Benjamin Benditson,LA,2,1,0,0,0,0,0,0,2005
Danilo Silva,LAFC,2,5,0,0,0,0,0,0,2005
Michael Lookingland,RSL,2,1,1,0,0,0,0,0,2005
Evan Whitfield,RSL,2,5,0,0,0,0,0,0,2005
Wes Hart,SJ,3,7,1,0,0,0,0,0,2005
Kevin Novak,RSL,2,3,2,0,0,0,0,0,2005
Ian Russell,SJ,2,13,2,0,0,0,0,0,2005
Aaron Lopez,CHV,3,4,3,0,0,0,0,0,2005
Cameron Knowles,RSL,2,4,3,0,0,0,0,0,2005
Chris Aloisi,SJ,2,6,5,0,0,0,0,0,2005
Marlon Rojas,RSL,3,7,6,0,0,0,0,0,2005
Troy Dayak,SJ,2,7,7,0,0,0,0,0,2005
Matt Behncke,RSL,2,8,7,0,0,0,0,0,2005
Michael Uma–a,LA,2,15,6,0,0,0,0,0,2005
Ryan Cochrane,SJ,2,14,6,0,0,0,0,0,2005
Troy Roberts,LA,2,14,9,0,0,0,0,0,2005
Alfonso Loera,CHV,2,12,9,0,0,0,0,0,2005
Danny O'Rourke,SJ,2,13,12,0,0,0,0,0,2005
Esteban Arias,CHV,2,15,14,0,0,0,0,0,2005
Seth Trembly,RSL,3,22,11,0,0,0,0,0,2005
Ricky Lewis,COL,2,16,16,0,0,0,0,0,2005
Ryan Suarez,CHV,2,19,16,0,0,0,0,0,2005
Pablo Chinchilla,LA,2,19,17,0,0,0,0,0,2005
Armando Begines,CHV,2,22,18,0,0,0,0,0,2005
Danny Califf,SJ,2,20,20,0,0,0,0,0,2005
Eddie Pope,RSL,2,20,20,0,0,0,0,0,2005
Nelson Akwari,RSL,2,23,21,0,0,0,0,0,2005
Brian Dunseth,RSL,2,24,24,0,0,0,0,0,2005
Mike Petke,COL,2,26,26,0,0,0,0,0,2005
Troy Roberts,LA,2,14,10,1,1,1,0,0.1,2006
Carlos Llamosa,CHV,2,13,11,1,0,0,1,0.1,2006
Lawson Vaughn,CHV,2,17,11,1,0,0,1,0.09,2006
Atiba Harris,RSL,2,22,12,1,1,1,0,0.08,2006
Dan Gargan,COL,2,22,15,1,1,0,1,0.06,2006
Claudio Suarez,CHV,2,20,20,1,1,1,0,0.05,2006
Hunter Freeman,COL,2,27,24,1,0,1,0,0.04,2006
Willis Forko,RSL,2,26,26,1,0,0,1,0.04,2006
Chad Marshall,SEA,2,26,25,1,1,0,1,0.04,2006
Aitor Karanka,COL,2,27,27,1,0,1,0,0.04,2006
Jordan Harvey,LAFC,2,0,0,0,0,0,0,0,2006
Stephen Keel,COL,2,0,0,0,0,0,0,0,2006
Mike Randolph,LA,2,0,0,0,0,0,0,0,2006
Eder Robles,CHV,2,0,0,0,0,0,0,0,2006
Carlos Borja,CHV,2,0,0,0,0,0,0,0,2006
Brian Dunseth,LA,2,0,0,0,0,0,0,0,2006
Seth Trembly,RSL,3,0,0,0,0,0,0,0,2006
Gustavo Cabrera,RSL,2,0,0,0,0,0,0,0,2006
Cameron Knowles,RSL,2,0,0,0,0,0,0,0,2006
Esteban Arias,CHV,2,4,0,0,0,0,0,0,2006
Johnny Garcia,CHV,2,2,1,0,0,0,0,0,2006
Benjamin Benditson,LA,2,1,1,0,0,0,0,0,2006
Chris Wingert,COL,2,10,4,0,0,0,0,0,2006
Daniel Wasson,COL,2,17,7,0,0,0,0,0,2006
Kyle Veris,LA,2,10,8,0,0,0,0,0,2006
Ante Jazic,LA,2,11,11,0,0,0,0,0,2006
Orlando Perez,CHV,2,23,11,0,0,0,0,0,2006
Nelson Akwari,RSL,2,18,14,0,0,0,0,0,2006
Daniel Torres,RSL,2,16,16,0,0,0,0,0,2006
Eddie Pope,RSL,2,22,22,0,0,0,0,0,2006
Kevin Novak,RSL,2,26,25,0,0,0,0,0,2006
Tyrone Marshall,LA,2,25,25,0,0,0,0,0,2006
Jason Hernandez,CHV,2,29,24,0,0,0,0,0,2006
Mike Petke,COL,2,26,26,0,0,0,0,0,2006
Ugo Ihemelu,LA,2,29,29,0,0,0,0,0,2006
Tim Regan,CHV,2,30,30,0,0,0,0,0,2006
Kyle Veris,LA,2,8,6,1,1,1,0,0.17,2007
Chris Lancos,RSL,3,14,8,1,0,1,0,0.11,2007
Abel Xavier,LA,2,10,10,1,0,1,0,0.1,2007
Jack Stewart,RSL,2,13,12,1,0,1,0,0.09,2007
Orlando Perez,CHV,2,15,12,1,0,1,0,0.09,2007
Atiba Harris,RSL,2,21,13,1,0,1,0,0.07,2007
Mike Randolph,LA,2,19,15,1,1,0,1,0.06,2007
Jonathan Bornstein,CHV,2,23,23,1,0,1,0,0.04,2007
Claudio Suarez,CHV,2,25,25,1,0,0,1,0.04,2007
Carey Talley,RSL,2,26,25,1,1,0,1,0.04,2007
Carlos Llamosa,CHV,2,0,0,0,0,0,0,0,2007
Jordan Harvey,LAFC,2,0,0,0,0,0,0,0,2007
Eder Robles,CHV,2,0,0,0,0,0,0,0,2007
Carlos Borja,CHV,2,0,0,0,0,0,0,0,2007
Desmond Brooks,CHV,2,0,0,0,0,0,0,0,2007
Bobby Burling,CHV,2,0,0,0,0,0,0,0,2007
Jorge Barrera,CHV,2,0,0,0,0,0,0,0,2007
Clifton Wilmes,COL,2,0,0,0,0,0,0,0,2007
Jorge Villafa–a,POR,2,1,0,0,0,0,0,0,2007
Dustin Kirby,RSL,2,1,1,0,0,0,0,0,2007
Stephen Keel,COL,2,4,1,0,0,0,0,0,2007
Ian Russell,LA,2,3,3,0,0,0,0,0,2007
Daniel Wasson,COL,2,5,2,0,0,0,0,0,2007
Kosuke Kimura,COL,2,4,4,0,0,0,0,0,2007
Chris Albright,LA,2,5,5,0,0,0,0,0,2007
Tony Sanneh,COL,2,9,5,0,0,0,0,0,2007
Daniel Torres,RSL,2,10,9,0,0,0,0,0,2007
Matias Mantilla,RSL,2,10,9,0,0,0,0,0,2007
Jason Hernandez,CHV,2,21,9,0,0,0,0,0,2007
Willis Forko,RSL,2,12,12,0,0,0,0,0,2007
Chad Marshall,SEA,2,12,11,0,0,0,0,0,2007
Dan Gargan,COL,2,15,11,0,0,0,0,0,2007
Troy Roberts,LA,2,16,12,0,0,0,0,0,2007
Ante Jazic,LA,2,18,16,0,0,0,0,0,2007
Jean-Martial Kipre,RSL,3,18,16,0,0,0,0,0,2007
Ritchie Kotschau,RSL,2,20,18,0,0,0,0,0,2007
Brandon Prideaux,COL,2,21,21,0,0,0,0,0,2007
Ugo Ihemelu,COL,2,25,23,0,0,0,0,0,2007
Mike Petke,COL,2,24,24,0,0,0,0,0,2007
Shavar Thomas,CHV,2,23,23,0,0,0,0,0,2007
Greg Vanney,COL,2,24,23,0,0,0,0,0,2007
Ty Harden,LA,2,24,24,0,0,0,0,0,2007
Tyrone Marshall,LA,2,24,24,0,0,0,0,0,2007
Eddie Pope,RSL,2,27,27,0,0,0,0,0,2007
