ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Marco Etcheverry,DC,M,26,23,19,6,10,9,0.8,1996
Carlos Valderrama,TB,M,23,23,17,6,13,4,0.74,1996
Eric Wynalda,SJ,F,27,26,13,2,9,4,0.5,1996
Preki,KC,M,32,32,13,2,9,4,0.41,1996
Robert Warzycha,CLB,M,20,20,11,3,8,3,0.57,1996
Mauricio Cienfuegos,LA,M,28,27,11,2,5,6,0.41,1996
Adrian Paz,CLB,M,27,19,10,0,4,6,0.5,1996
Tab Ramos,MET,M,25,25,10,3,5,5,0.42,1996
Mark Chung,KC,M,32,32,9,2,5,4,0.28,1996
Roberto Donadoni,MET,M,17,17,8,3,7,1,0.47,1996
Giuseppe Galderisi,NE,F,25,22,8,2,3,5,0.37,1996
Tony Sanneh,DC,D,25,24,8,2,5,3,0.35,1996
Billy Thompson,CLB,M,24,24,8,1,5,3,0.35,1996
Ben Iroha,SJ,M,29,24,8,3,3,5,0.33,1996
John Harkes,DC,M,29,28,8,2,6,2,0.29,1996
Chris Henderson,COL,M,29,29,8,0,5,3,0.28,1996
Gerell Elliott,DAL,F,20,16,7,2,1,6,0.41,1996
Alberto Naveda,NE,F,25,20,7,2,5,2,0.36,1996
Vitalis Takawira,KC,F,28,25,7,0,4,3,0.28,1996
Shaun Bartlett,COL,F,26,26,7,1,5,2,0.28,1996
Eduardo Hurtado,LA,F,26,26,7,0,4,3,0.27,1996
Diego Sonora,DAL,M-D,31,31,7,1,3,4,0.23,1996
Roy Wegerle,COL,F,22,16,6,3,3,3,0.37,1996
Ted Eck,DAL,M-F,26,16,6,2,4,2,0.35,1996
Welton,NE,F,29,20,6,1,2,4,0.28,1996
Mike Sorber,KC,M,23,23,6,1,5,1,0.28,1996
Ivan McKinley,TB,D-M,26,25,6,1,5,1,0.25,1996
Steve Pittman,TB,D,26,26,6,1,3,3,0.24,1996
John Doyle,SJ,D,30,30,6,1,6,0,0.2,1996
Martin Vasquez,TB,M,31,31,6,0,6,0,0.2,1996
Darren Sawatzky,NE,F,28,19,5,1,4,1,0.25,1996
Leonel Alvarez,DAL,M,22,22,5,2,4,1,0.23,1996
Eduardo Espinoza,SJ,F,26,26,5,1,1,4,0.19,1996
Jason Kreis,DAL,M,31,29,5,0,3,2,0.18,1996
Richie Williams,DC,M,30,30,5,1,2,3,0.18,1996
Paul Bravo,SJ,M,31,31,5,0,5,0,0.17,1996
Jeff Agoos,DC,D,32,32,5,1,2,3,0.16,1996
Scott Benedetti,COL,F,32,32,5,2,4,1,0.16,1996
Guillermo Jara,LA,M,21,6,4,1,1,3,0.44,1996
Frank Klopas,KC,F,22,16,4,1,3,1,0.29,1996
John DeBrito,NE,D,21,18,4,1,3,1,0.23,1996
Pete Marino,CLB,F,29,18,4,1,1,3,0.21,1996
Miles Joseph,MET,M,24,23,4,0,2,2,0.19,1996
Diego Gutierrez,KC,D,28,24,4,3,3,1,0.17,1996
Jean Harbor,COL,F,29,27,4,2,4,0,0.17,1996
Cobi Jones,LA,M,28,27,4,2,3,1,0.15,1996
Roy Lassiter,TB,F,30,30,4,2,2,2,0.14,1996
