ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A.90min,Timestamp
EastCoastNonStarSub1,1,2.5,10.66666667,14.5,14.86666667,13.16666667,12.80952381,11.91666667,10.66481481,209.1983333
EastCoastNonStarSub2,3.333333333,3.666666667,10.44444444,13.16666667,12.6,10.83333333,10.0952381,9.416666667,8.425555556,207.183
EastCoastNonStarSub3,3.666666667,4.166666667,11,14.16666667,13,11.22222222,10.33333333,9.458333333,8.448888889,207.204
EastCoastNonStarSub4,3,3.833333333,10.66666667,13.66666667,12.46666667,10.66666667,9.714285714,8.958333333,8.001851852,206.8016667
EastCoastNonStarSub5,4.333333333,5,12.11111111,14.16666667,12.66666667,10.77777778,9.857142857,8.916666667,7.962592593,206.7663333
EastCoastNonStarSub6,2.666666667,3.666666667,11.66666667,14.91666667,13.13333333,11.05555556,10.0952381,9.041666667,8.065185185,206.8586667
EastCoastNonStarSub7,5.666666667,5.166666667,12.44444444,15.16666667,13.13333333,11.11111111,10.04761905,8.958333333,7.987407407,206.7886667
EastCoastNonStarSub8,1.666666667,3.5,11.33333333,13.83333333,11.93333333,10.11111111,8.952380952,8.125,7.247407407,206.1226667
EastCoastNonStarSub9,2,3.333333333,10.77777778,13.91666667,11.86666667,10,8.80952381,7.958333333,7.092962963,205.9836667
EastCoastNonStarSub10,3.666666667,4.833333333,11.66666667,13.83333333,11.66666667,9.777777778,8.666666667,7.708333333,6.869259259,205.7823333
EastCoastNonStarSub11,3.666666667,4.333333333,12.11111111,15.75,13.2,11.16666667,9.80952381,8.75,7.791111111,206.612
EastCoastNonStarSub12,3.666666667,4.166666667,6,5.833333333,5.066666667,4.333333333,3.857142857,3.5,3.15,202.435
EastCoastNonStarSub13,5,5,7,7.25,6.2,5.333333333,4.761904762,4.25,3.805185185,203.0246667
EastCoastNonStarSub14,3.333333333,4,9.111111111,10.16666667,8.533333333,7.166666667,6.380952381,5.625,5.016666667,204.115
EastCoastNonStarSub15,3.333333333,4.333333333,10.66666667,11.58333333,9.666666667,8.166666667,7.285714286,6.375,5.681111111,204.713
EastCoastNonStarSub16,2.666666667,4,11,14.33333333,11.86666667,9.944444444,8.619047619,7.708333333,6.861851852,205.7756667
EastCoastNonStarSub17,3.333333333,3.666666667,9.333333333,11.91666667,9.866666667,8.222222222,7.19047619,6.375,5.8,204.82
EastCoastNonStarSub18,3.666666667,3.833333333,3.555555556,3.083333333,2.666666667,2.388888889,2.095238095,1.916666667,1.762592593,201.1863333
EastCoastNonStarSub19,2.666666667,3.333333333,5.666666667,5.25,4.4,3.722222222,3.238095238,2.916666667,2.617407407,201.9556667
EastCoastNonStarSub20,3.333333333,4,6.333333333,6.666666667,5.533333333,4.611111111,4,3.583333333,3.199259259,202.4793333
EastCoastNonStarSub21,2.666666667,3.333333333,8.666666667,9.25,7.6,6.388888889,5.571428571,4.916666667,4.380740741,203.5426667
EastCoastNonStarSub22,4.666666667,5,9.666666667,10.83333333,8.866666667,7.388888889,6.476190476,5.666666667,5.044444444,204.14
EastCoastNonStarSub23,3.333333333,3.666666667,6,7.083333333,5.733333333,4.777777778,4.142857143,3.625,3.223333333,202.501
EastCoastNonStarSub24,4.333333333,4.5,3.333333333,2.5,2,1.666666667,1.428571429,1.25,1.111111111,200.6
EastCoastNonStarSub25,4,4,3.333333333,2.5,2,1.666666667,1.428571429,1.25,1.111111111,200.6
EastCoastNonStarSub26,3.666666667,4.5,3.777777778,2.916666667,2.333333333,1.944444444,1.666666667,1.458333333,1.296296296,200.7666667
EastCoastNonStarSub27,2.666666667,4,3.444444444,2.75,2.2,1.833333333,1.571428571,1.375,1.222222222,200.7
EastCoastNonStarSub28,1.333333333,2.666666667,2.555555556,2.083333333,1.666666667,1.388888889,1.19047619,1.041666667,0.925925926,200.4333333
EastCoastNonStarSub29,3,4.166666667,4.444444444,3.583333333,2.866666667,2.388888889,2.047619048,1.791666667,1.592592593,201.0333333
EastCoastNonStarSub30,1,3.166666667,4.333333333,3.666666667,2.933333333,2.444444444,2.095238095,1.833333333,1.62962963,201.0666667
EastCoastNonStarSub31,4,4.333333333,5.444444444,4.75,3.8,3.166666667,2.714285714,2.375,2.111111111,201.5
