"","Name","Cohort"
"1","Guillermo Jara","West Coast Golden Substitute"
"2","Eric Wynalda","West Coast Golden Substitute"
"3","Christopher Sullivan","West Coast Golden Substitute"
"4","Ross Paule","West Coast Golden Substitute"
"5","Welton","West Coast Golden Substitute"
"6","Francisco Uribe","West Coast Golden Substitute"
"7","Wellington Sanchez","West Coast Golden Substitute"
"8","Joe Franchino","West Coast Golden Substitute"
"9","Wolde Harris","West Coast Golden Substitute"
"10","Brian Sebapole","West Coast Golden Substitute"
"11","Marquinho","West Coast Golden Substitute"
"12","Jason Boyce","West Coast Golden Substitute"
"13","Shawn Medved","West Coast Golden Substitute"
"14","Scott Bower","West Coast Golden Substitute"
"15","Anders Limpar","West Coast Golden Substitute"
"16","Matt Okoh","West Coast Golden Substitute"
"17","Joey DiGiamarino","West Coast Golden Substitute"
"18","Raul Diaz Arce","West Coast Golden Substitute"
"19","Dwayne De Rosario","West Coast Golden Substitute"
"20","Chris Carrieri","West Coast Golden Substitute"
"21","Junior Agogo","West Coast Golden Substitute"
"22","Luis Hernandez","West Coast Golden Substitute"
"23","Raul Palacios","West Coast Golden Substitute"
"24","Gavin Glinton","West Coast Golden Substitute"
"25","Alberto Delgado","West Coast Golden Substitute"
"26","Ned Grabavoy","West Coast Golden Substitute"
"27","Brian Ching","West Coast Golden Substitute"
"28","Ednaldo da Conceicao","West Coast Golden Substitute"
"29","Josh Gardner","West Coast Golden Substitute"
"30","Ramon Nunez","West Coast Golden Substitute"
"31","Conor Casey","West Coast Golden Substitute"
"32","Andy Williams","West Coast Golden Substitute"
"33","Eric Wynalda","West Coast Non Golden Substitute"
"34","Mauricio Cienfuegos","West Coast Non Golden Substitute"
"35","Ben Iroha","West Coast Non Golden Substitute"
"36","Chris Henderson","West Coast Non Golden Substitute"
"37","Shaun Bartlett","West Coast Non Golden Substitute"
"38","Eduardo Hurtado","West Coast Non Golden Substitute"
"39","Roy Wegerle","West Coast Non Golden Substitute"
"40","Eduardo Espinoza","West Coast Non Golden Substitute"
"41","Paul Bravo","West Coast Non Golden Substitute"
"42","Scott Benedetti","West Coast Non Golden Substitute"
"43","Jean Harbor","West Coast Non Golden Substitute"
"44","Cobi Jones","West Coast Non Golden Substitute"
"45","Eddie Lewis","West Coast Non Golden Substitute"
